OrderID,Product,Quantity,Price,Region
1,Monitor,7,18.13,East
2,,9,260.93,South
3,Keyboard,8,120.98,North
4,,12,326.13,West
5,,2,95.44,North
6,Mouse,1,,West
7,Keyboard,16,,South
8,Keyboard,5,,East
9,Keyboard,3,,North
10,,12,177.12,West
11,Monitor,8,65.6,North
12,Keyboard,3,463.1,West
13,,1,439.9,North
14,Mouse,3,136.39,West
15,Monitor,5,333.39,West
16,Mouse,15,410.44,South
17,Monitor,14,282.05,West
18,,3,269.53,South
19,Laptop,1,128.51,West
20,Monitor,5,55.62,East
21,Mouse,14,449.64,East
22,,7,451.2,East
23,Monitor,9,320.22,West
24,Laptop,15,176.12,South
25,Laptop,15,181.11,South
26,Keyboard,10,365.72,West
27,Keyboard,13,449.58,East
28,Mouse,19,444.67,East
29,Monitor,7,392.14,South
30,Monitor,17,324.6,East
31,Keyboard,4,51.23,North
32,Monitor,5,89.2,South
33,Monitor,7,450.29,East
34,Laptop,13,307.15,South
35,Keyboard,15,14.51,North
36,,11,59.72,South
37,Keyboard,4,335.12,South
38,,13,12.48,South
39,Laptop,7,88.8,South
40,Mouse,19,278.88,North
41,Monitor,2,349.03,West
42,Laptop,10,329.46,South
43,Monitor,13,119.89,South
44,Mouse,6,358.97,East
45,Mouse,12,126.25,South
46,Laptop,12,169.45,East
47,Mouse,11,375.78,West
48,,7,328.32,North
49,Mouse,1,426.12,North
50,Monitor,1,332.23,West
51,Monitor,13,288.47,North
52,Monitor,9,55.9,West
53,Monitor,3,190.18,West
54,,7,139.95,West
55,Keyboard,6,129.55,North
56,Laptop,8,486.78,East
57,Monitor,9,202.62,West
58,Mouse,5,447.1,South
59,Monitor,1,319.26,North
60,Mouse,19,399.46,West
61,Mouse,10,256.29,West
62,Monitor,12,292.68,South
63,,15,251.33,East
64,Mouse,9,105.67,East
65,Mouse,17,364.0,East
66,Monitor,17,147.58,West
67,Mouse,12,21.91,West
68,Mouse,7,326.28,West
69,Monitor,2,96.78,North
70,Monitor,3,470.82,South
71,Laptop,17,477.43,West
72,,5,458.28,South
73,,17,191.38,South
74,Mouse,17,17.57,East
75,,17,464.88,North
76,Mouse,2,219.81,West
77,Laptop,2,483.66,East
78,Monitor,5,482.17,East
79,Monitor,1,427.97,West
80,Monitor,1,154.28,South
81,,19,198.7,East
82,Laptop,2,427.06,South
83,,12,165.29,North
84,,6,93.05,South
85,Laptop,4,282.83,North
86,Laptop,11,468.72,South
87,Laptop,17,351.05,East
88,Laptop,6,289.33,East
89,Monitor,5,57.62,North
90,Keyboard,2,311.35,West
91,Keyboard,6,495.13,North
92,Laptop,11,78.64,North
93,Keyboard,16,263.98,South
94,Keyboard,16,439.91,South
95,Laptop,1,372.98,North
96,Keyboard,9,351.54,East
97,,6,354.22,South
98,Mouse,16,186.15,West
99,Mouse,3,153.86,South
100,Laptop,4,406.59,South
1,Monitor,7,18.13,East
2,,9,260.93,South
3,Keyboard,8,120.98,North
